0	0.394
0.01	0.3722
0.02	0.3512
0.03	0.33256
0.04	0.31764
0.05	0.3024
0.06	0.28944
0.07	0.28048
0.08	0.26876
0.09	0.26496
0.1	0.25272
0.11	0.24516
0.12	0.23764
0.13	0.22892
0.14	0.22488
0.15	0.21928
0.16	0.2106
0.17	0.2038
0.18	0.20036
0.19	0.1952
0.2	0.19044
0.21	0.1844
0.22	0.18056
0.23	0.1786
0.24	0.17496
0.25	0.16624
0.26	0.1642
0.27	0.158
0.28	0.15984
0.29	0.15812
0.3	0.146
0.31	0.15228
0.32	0.1418
0.33	0.13728
0.34	0.13684
0.35	0.1318
0.36	0.1318
0.37	0.12184
0.38	0.1222
0.39	0.11908
0.4	0.11896
0.41	0.11584
0.42	0.11412
0.43	0.11084
0.44	0.10592
0.45	0.1054
0.46	0.1028
0.47	0.09736
0.48	0.09992
0.49	0.09408
0.5	0.09532
0.51	0.0904
0.52	0.0856
0.53	0.08796
0.54	0.08632
0.55	0.08332
0.56	0.0798
0.57	0.07332
0.58	0.07184
0.59	0.06548
0.6	0.06728
0.61	0.07284
0.62	0.06524
0.63	0.06276
0.64	0.064
0.65	0.05616
0.66	0.06064
0.67	0.0544
0.68	0.06208
0.69	0.05424
0.7	0.05492
0.71	0.05036
0.72	0.0524
0.73	0.04888
0.74	0.05028
0.75	0.04676
0.76	0.04804
0.77	0.04104
0.78	0.04816
0.79	0.04644
0.8	0.04148
0.81	0.03864
0.82	0.03836
0.83	0.03836
0.84	0.03264
0.85	0.03648
0.86	0.03108
0.87	0.02824
0.88	0.02736
0.89	0.02376
0.9	0.02736
0.91	0.02604
0.92	0.02452
0.93	0.0228
0.94	0.02476
0.95	0.02076
0.96	0.02
0.97	0.0154
0.98	0.01784
0.99	0.01732
